Batch,Size,Defectives,EB
1,238,0,1
2,199,0,1
3,216,0,1
4,145,0,1
5,248,3,14
6,228,1,3
7,215,0,1
8,254,0,2
9,210,0,1
10,185,0,1
11,165,2,7
12,221,0,1
13,257,1,3
14,241,4,19
15,198,0,1
16,190,0,1
17,160,0,1
18,150,0,1
19,239,0,1
20,212,1,3
21,226,0,1
22,194,3,11
23,244,0,1
24,226,0,1
25,166,0,1
26,220,0,1
27,174,0,1
28,168,0,1
29,159,0,1
30,186,0,1
31,201,0,1
32,140,0,1
33,232,1,3
34,141,1,2
35,208,0,1
36,215,1,3
37,143,0,1
38,180,0,1
39,240,0,1
40,223,0,1
41,258,1,3
42,175,3,10
43,250,3,14
44,257,0,2
45,226,0,1
46,243,0,1
47,259,0,2
48,249,0,1
49,249,0,1
50,204,0,1
51,248,2,11
52,195,1,3
53,175,0,1
54,147,0,1
55,245,0,1
56,180,5,16
57,187,0,1
58,256,1,3
59,189,1,3
60,228,1,3
61,193,0,1
62,233,1,3
63,229,1,3
64,171,0,1
65,192,0,1
66,186,0,1
67,212,0,1
68,170,0,1
69,224,0,1
70,256,0,2
71,207,2,9
72,141,1,2
73,258,0,2
74,249,0,1
75,222,0,1
76,196,0,1
77,254,3,15
78,176,3,10
79,256,4,20
80,156,1,2
81,253,0,2
82,142,1,2
83,257,0,2
84,190,0,1
85,238,0,1
86,237,1,3
87,228,4,18
88,185,1,3
89,216,0,1
90,145,2,7
91,182,0,1
