CZ ,Name_of_CZ,Census_2000_population,State_Abbrev.,State,Urban_Areas,p25_coef,p25_se,p25_se_boot
100,Johnson City,576081,TN,Tennessee,1,-0.416,0.250,0.273
200,Morristown,227816,TN,Tennessee,1,-0.043,0.249,0.266
301,Middlesborough,66708,TN,Tennessee,0,0.428,0.568,0.578
302,Knoxville,727600,TN,Tennessee,1,-0.055,0.183,0.187
401,Winston-Salem,493180,NC,North Carolina,1,-0.443,0.199,0.201
402,Martinsville,92753,VA,Virginia,0,-0.470,0.413,0.411
500,Greensboro,1055133,NC,North Carolina,1,-0.347,0.132,0.134
601,North Wilkesboro,90016,NC,North Carolina,0,0.237,0.572,0.519
602,Galax,64676,VA,Virginia,0,-1.085,0.692,0.806
700,Spartanburg,354533,SC,South Carolina,1,-0.233,0.230,0.243
800,Gastonia,413331,NC,North Carolina,1,-0.402,0.200,0.181
900,Charlotte,1423942,NC,North Carolina,1,-0.248,0.096,0.095
1001,Boone,77361,NC,North Carolina,0,0.860,0.601,0.649
1002,Morganton,164760,NC,North Carolina,1,-0.386,0.353,0.369
1100,Hickory,375363,NC,North Carolina,1,-0.007,0.222,0.211
1201,Franklin,44861,NC,North Carolina,0,-0.693,0.763,1.211
1202,Sylva,54082,NC,North Carolina,0,0.692,0.848,0.888
1203,Asheville,398505,NC,North Carolina,1,-0.425,0.239,0.217
1204,Andrews,59681,NC,North Carolina,0,-0.172,0.759,0.868
1301,Bennettsville,71586,SC,South Carolina,0,0.052,0.358,0.323
1302,Florence,548986,SC,South Carolina,1,-0.205,0.144,0.163
1400,Fayetteville,644101,NC,North Carolina,1,-0.241,0.128,0.139
1500,Wilmington,361559,NC,North Carolina,1,-0.381,0.194,0.166
1600,Wilson,216840,NC,North Carolina,1,0.073,0.245,0.243
1701,Raleigh,1412127,NC,North Carolina,1,-0.278,0.105,0.112
1702,Henderson,62926,NC,North Carolina,0,-0.567,0.397,0.398
1800,Goldsboro,222553,NC,North Carolina,1,-0.054,0.252,0.239
1900,Jacksonville,536909,NC,North Carolina,1,0.298,0.162,0.160
2000,Virginia Beach,1119468,VA,Virginia,1,-0.160,0.109,0.109
2100,Washington,124216,NC,North Carolina,0,0.037,0.318,0.306
2200,South Boston,158234,VA,Virginia,0,0.013,0.285,0.295
2300,Lynchburg,228616,VA,Virginia,1,-0.090,0.293,0.310
2400,Richmond,1040192,VA,Virginia,1,-0.011,0.135,0.153
2500,Newport News,570854,VA,Virginia,1,0.064,0.150,0.177
2600,Roanoke Rapids,139055,NC,North Carolina,0,0.335,0.286,0.287
2700,Gulfport,458674,MS,Mississippi,1,-0.100,0.202,0.226
2800,Laurel,120505,MS,Mississippi,0,0.128,0.393,0.441
2900,Hattiesburg,157181,MS,Mississippi,1,-0.362,0.324,0.335
3001,Kosciusko,41270,MS,Mississippi,0,-0.448,0.500,0.608
3002,Yazoo City,39355,MS,Mississippi,1,-0.572,0.517,0.543
3003,Jackson,546560,MS,Mississippi,1,-0.326,0.195,0.181
3101,McComb,103602,MS,Mississippi,0,-0.282,0.377,0.392
3102,Brookhaven,46424,MS,Mississippi,0,-0.536,0.520,0.581
3201,Jena,25202,LA,Louisiana,0,0.052,0.787,1.026
3202,Natchez,69653,MS,Mississippi,0,0.156,0.498,0.635
3203,Vicksburg,84943,MS,Mississippi,0,-0.261,0.510,0.520
3300,New Orleans,1381652,LA,Louisiana,1,-0.391,0.111,0.111
3400,Houma,271365,LA,Louisiana,1,0.119,0.273,0.231
3500,Baton Rouge,806561,LA,Louisiana,1,-0.366,0.161,0.143
3600,Alexandria,186516,LA,Louisiana,1,-0.481,0.286,0.320
3700,Lake Charles,335960,LA,Louisiana,1,0.324,0.245,0.266
3800,Lafayette,548154,LA,Louisiana,1,0.034,0.222,0.209
3901,Monroe,253878,LA,Louisiana,1,0.342,0.277,0.259
3902,Lake Providence,21735,LA,Louisiana,0,,,
4001,Magnolia,34162,AR,Arkansas,0,-0.153,0.631,0.734
4002,Shreveport,499101,LA,Louisiana,1,0.148,0.183,0.176
4003,Ruston,74800,LA,Louisiana,0,0.471,0.437,0.406
4004,Many,23459,LA,Louisiana,0,,,
4101,Crossett,24209,AR,Arkansas,0,,,
4102,Pine Bluff,168122,AR,Arkansas,1,0.360,0.311,0.484
4103,El Dorado,89373,AR,Arkansas,0,0.981,0.452,0.496
4200,Little Rock,630854,AR,Arkansas,1,0.095,0.184,0.203
4301,Stuttgart,40542,AR,Arkansas,0,0.547,0.547,0.529
4302,Searcy,94324,AR,Arkansas,0,1.063,0.411,0.434
4401,London,144931,KY,Kentucky,0,0.255,0.406,0.427
4402,Richmond,116256,KY,Kentucky,0,0.830,0.438,0.454
4501,West Liberty,49887,KY,Kentucky,0,0.971,0.728,0.917
4502,Hazard,117919,KY,Kentucky,0,1.168,0.585,0.704
4601,Campbellsville,83451,KY,Kentucky,0,-0.049,0.535,0.560
4602,Somerset,123981,KY,Kentucky,0,0.917,0.467,0.534
4701,Greenwood,84168,MS,Mississippi,0,-0.295,0.390,0.462
4702,Clarksdale,141711,MS,Mississippi,0,-0.084,0.272,0.309
4800,Greenville,146833,MS,Mississippi,0,0.298,0.286,0.283
4901,Jackson,198166,TN,Tennessee,1,-0.532,0.331,0.316
4902,Dyersburg,92131,TN,Tennessee,0,-0.507,0.394,0.433
4903,Lexington,44884,TN,Tennessee,0,-0.854,0.784,0.935
5000,Tupelo,197774,MS,Mississippi,0,0.034,0.345,0.332
5100,Corinth,129508,MS,Mississippi,0,-0.005,0.408,0.417
5201,New Albany,54214,MS,Mississippi,1,0.585,0.462,0.438
5202,Memphis,1154338,TN,Tennessee,1,-0.121,0.126,0.143
5300,West Memphis,138746,AR,Arkansas,1,-0.122,0.273,0.289
5401,Bowling Green,164944,KY,Kentucky,1,-0.050,0.364,0.408
5402,Glasgow,92394,KY,Kentucky,0,-0.277,0.483,0.486
5500,Columbia,159374,TN,Tennessee,1,-0.467,0.298,0.292
5600,Nashville,1246338,TN,Tennessee,1,-0.041,0.129,0.143
5700,Tullahoma,130610,TN,Tennessee,0,-0.565,0.345,0.385
5800,Dickson,138212,TN,Tennessee,1,-0.692,0.345,0.388
5900,Clarksville,252059,TN,Tennessee,1,0.231,0.309,0.444
6000,Huntsville,519583,AL,Alabama,1,-0.222,0.199,0.226
6100,Gadsden,304068,AL,Alabama,1,-0.182,0.246,0.241
6200,Florence,230941,AL,Alabama,1,-0.432,0.340,0.338
6301,McMinnville,84309,TN,Tennessee,0,0.503,0.449,0.440
6302,Cookeville,98362,TN,Tennessee,0,0.654,0.525,0.454
6401,Chattanooga,490863,TN,Tennessee,1,-0.024,0.227,0.260
6402,Crossville,104194,TN,Tennessee,0,0.424,0.436,0.438
6501,Ellijay,43254,GA,Georgia,0,-0.789,0.582,0.630
6502,Cleveland,203077,TN,Tennessee,1,0.200,0.300,0.310
6600,Rome,418304,GA,Georgia,1,-0.283,0.197,0.223
6700,Tampa,2395997,FL,Florida,1,-0.138,0.068,0.061
6800,Lakeland,598228,FL,Florida,1,-0.121,0.129,0.143
6900,Sarasota,763795,FL,Florida,1,-0.259,0.136,0.146
7000,Miami,3955969,FL,Florida,1,-0.021,0.063,0.053
7100,Port St. Lucie,1533306,FL,Florida,1,-0.263,0.090,0.083
7200,Cape Coral,692265,FL,Florida,1,-0.121,0.128,0.138
7300,Palm Bay,589177,FL,Florida,1,-0.221,0.142,0.124
7400,Orlando,1697906,FL,Florida,1,-0.189,0.069,0.072
7500,Deltona,563598,FL,Florida,1,-0.349,0.128,0.113
7600,Jacksonville,1176696,FL,Florida,1,0.050,0.100,0.095
7700,Lake City,149695,FL,Florida,0,0.022,0.261,0.280
7800,Ocala,377001,FL,Florida,1,0.172,0.154,0.187
7900,Gainesville,320199,FL,Florida,1,0.044,0.192,0.179
8000,Sumter,209914,SC,South Carolina,1,-0.196,0.243,0.287
8100,Columbia,722201,SC,South Carolina,1,-0.164,0.142,0.139
8201,Barnwell,72733,SC,South Carolina,0,-0.062,0.369,0.329
8202,Charleston,587297,SC,South Carolina,1,-0.080,0.160,0.151
8300,Greenville,894291,SC,South Carolina,1,-0.334,0.154,0.169
8401,Aiken,525842,GA,Georgia,1,-0.236,0.177,0.188
8402,Washington,35518,GA,Georgia,1,-0.354,0.556,0.518
8501,Fitzgerald,27415,GA,Georgia,0,-0.198,0.812,0.991
8502,Cordele,42098,GA,Georgia,0,0.288,0.538,0.616
8503,Valdosta,241530,GA,Georgia,1,-0.344,0.267,0.297
8601,Waycross,113122,GA,Georgia,0,-0.543,0.382,0.385
8602,Brunswick,93044,GA,Georgia,1,-0.737,0.440,0.435
8701,Hinesville,131279,GA,Georgia,1,-0.278,0.291,0.319
8702,Statesboro,111346,GA,Georgia,0,-0.325,0.358,0.316
8800,Savannah,434615,GA,Georgia,1,-0.164,0.179,0.197
8900,Macon,386870,GA,Georgia,1,0.192,0.219,0.228
9001,Vidalia,108438,GA,Georgia,0,-0.409,0.376,0.408
9002,Milledgeville,83808,GA,Georgia,0,-0.584,0.402,0.426
9003,Dublin,74610,GA,Georgia,0,-0.790,0.457,0.444
9100,Atlanta,3798017,GA,Georgia,1,-0.093,0.055,0.051
9200,Griffin,135136,GA,Georgia,1,-0.153,0.257,0.228
9301,Winder,212223,GA,Georgia,1,-0.207,0.271,0.242
9302,Toccoa,89228,GA,Georgia,0,-0.445,0.428,0.457
9400,Gainesville,272150,GA,Georgia,1,-0.101,0.243,0.246
9500,Talladega,148252,AL,Alabama,0,0.558,0.312,0.279
9600,LaGrange,457299,GA,Georgia,1,-0.213,0.171,0.147
9701,Columbus,303656,GA,Georgia,1,0.050,0.211,0.240
9702,Americus,65826,GA,Georgia,1,-0.327,0.457,0.499
9800,Auburn,150911,AL,Alabama,1,0.095,0.322,0.324
9900,Tallahassee,426634,FL,Florida,1,0.252,0.195,0.204
10000,Panama City,172606,FL,Florida,1,-0.155,0.318,0.359
10101,Bainbridge,43992,GA,Georgia,0,0.603,0.676,1.026
10102,Thomasville,66396,GA,Georgia,0,0.058,0.432,0.536
10200,Albany,181765,GA,Georgia,1,0.297,0.313,0.327
10301,Eufaula,61458,GA,Georgia,0,0.180,0.495,0.550
10302,Dothan,223605,AL,Alabama,1,0.463,0.295,0.312
10400,Meridian,157091,MS,Mississippi,0,-0.494,0.363,0.414
10501,Columbus,95083,MS,Mississippi,1,-0.016,0.467,0.433
10502,Starkville,105093,MS,Mississippi,0,-0.050,0.423,0.415
10600,Jasper,161169,AL,Alabama,1,-0.688,0.348,0.378
10700,Birmingham,1038182,AL,Alabama,1,-0.049,0.152,0.171
10801,Tuscaloosa,261112,AL,Alabama,1,0.028,0.249,0.243
10802,Demopolis,63233,AL,Alabama,0,-0.072,0.438,0.421
10900,Pensacola,623252,FL,Florida,1,-0.136,0.150,0.152
11001,Mobile,599405,AL,Alabama,1,0.039,0.178,0.214
11002,Atmore,76853,AL,Alabama,0,-0.282,0.473,0.484
11101,Montgomery,367927,AL,Alabama,1,0.316,0.221,0.267
11102,Troy,80901,AL,Alabama,0,0.418,0.418,0.477
11201,Bluefield,199334,VA,Virginia,0,0.261,0.383,0.426
11202,Welch,53037,WV,West Virginia,0,1.682,0.713,0.710
