OccGroup,Exposure,Death
1,3349.02,16
2,1394,5
3,479.81,0
4,23.98,0
5,11.3,0
6,2273.55,11
7,179.85,0
8,3947.44,24
9,4332.56,9
10,109.84,1
11,647.77,2
12,1308.36,1
13,154.81,4
14,7525.86,13
15,428.34,2
16,1049.42,3
17,2394.95,10
18,2406.47,5
19,212.79,0
20,5334.82,15
21,1235.84,5
22,6575.43,57
23,270.6,2
24,1137.39,4
25,2080.38,10
26,26762.37,49
27,24.98,0
28,16.46,0
29,210.12,0
30,274.28,3
31,4106.71,12
32,2463.9,5
33,1224.26,6
34,8439.94,21
35,2751.09,14
36,2053.67,12
37,1648.87,3
38,99.74,0
39,28.47,0
40,762.12,2
41,742.22,4
42,104.84,0
43,2857.05,5
44,1127.65,3
45,96.64,0
46,137.22,1
47,77.11,0
48,650.88,0
49,4497.34,15
50,3959.89,18
51,5518.23,14
52,2518.79,11
53,86.21,2
54,19485.59,26
55,4.45,0
56,3259.21,7
57,24.44,0
58,9037.35,20
59,30.91,0
60,44.24,0
61,1551.3,3
62,113.49,0
63,147.44,0
64,826.4,2
65,775.19,1
66,634.16,2
67,2293.45,6
68,942.03,4
69,232.31,2
70,37.08,0
71,233.25,0
72,39.52,0
