"study","pvalue","absolute_zscore"
"Tracing attention and the activation flow in spoken word planning using eye movements.",0.434030725,0.782312870147554
"Now you see it, now you don't: repetition blindness for nonwords",0.269558068,1.10408084883675
"Working memory costs of task switching.",0.228988827,1.20296768211455
"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0.920419089,0.09990582853969
"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0.355722382,0.923546687274442
"A single-system account of the relationship between priming, recognition, and fluency.",0.02258934,2.28030947915325
"Modeling distributions of immediate memory effects: No strategies needed?",0.627590166,0.485121494112891
"Stereotypes and retrieval-provoked illusory source recollections.",0.539998592,0.612815120186438
"Across-notation automatic numerical processing.",2.21e-07,5.1807462176631
"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0.008168915,2.64500731942588
"When does between-sequence phonological similarity promote irrelevant sound disruption?",0.198165248,1.28679644031758
"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",1.58e-12,7.067279955335
"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0.000101,3.88817691331959
"The ultimate sampling dilemma in experience-based decision making.",1.37e-06,4.82932013467364
"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0.070889711,1.80618331022825
"Intentional forgetting is easier after two ""shots"" than one.",0.841863775,0.199510059738316
"Priming addition facts with semantic relations.",0.045417099,2.00077076803106
"Contextual effects on reading aloud: Evidence for pathway control.",0.165946909,1.38534529772077
"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0.001007522,3.28841780254283
"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0.327320513,0.979525261707152
"Multidimensional visual statistical learning.",0.002339966,3.04330299220712
"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0.001950822,3.09761878090337
"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0.04414462,2.01271500417521
"An attention-based associative account of adjacent and nonadjacent dependency learning.",0.00047793,3.49283037059014
"Orienting attention in visual working memory reduces interference from memory probes.",0.142093022,1.46804123668883
"Decision making and learning while taking sequential risks.",0.211299547,1.25000000091353
"Why do implicit and explicit attitude tests diverge? The role of structural fit.",0.045320778,2.00166495427497
"Terror management and adults' attachment to their parents: The safe haven remains.",0.468999328,0.724108171948409
"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.777977082,0.281956217657583
"Affective incoherence: When affective concepts and embodied reactions clash.",0.321906461,0.990547752013679
"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0.513076239,0.654055206174593
"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0.741793627,0.329479049289302
"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0.796267394,0.258180775526186
"Walking on eggshells: How expressing relationship insecurities perpetuates them.",0.540253118,0.612430272501524
"Poignancy: Mixed emotional experience in the face of meaningful endings.",0.944257246,0.0699201110491543
"1/f noise and effort on implicit measures of bias.",0.374369532,0.888318349543268
"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0.425841059,0.796328612760631
"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0.893478732,0.133903690465903
"Why people are reluctant to tempt fate.",0.964369609,0.0446709250546704
"The nonverbal expression of pride: Evidence for cross-cultural recognition.",1e-06,4.89163847569859
